County,Month,Year,Application Status,Number of Applications
Riverside,5,2012,Applications denied,2284
Riverside,5,2012,Applications/requests for restoration received,4429
Riverside,5,2012,Applications/restorations approved,1561
Riverside,5,2012,Total applications/restorations on hand,5562
Riverside,5,2013,Applications denied,2075
Riverside,5,2013,Applications/requests for restoration received,3930
Riverside,5,2013,Applications/restorations approved,1392
Riverside,5,2013,Total applications/restorations on hand,4900
Riverside,5,2014,Applications denied,1863
Riverside,5,2014,Applications/requests for restoration received,3404
Riverside,5,2014,Applications/restorations approved,1296
Riverside,5,2014,Total applications/restorations on hand,4433
Riverside,5,2015,Applications denied,1696
Riverside,5,2015,Applications/requests for restoration received,3156
Riverside,5,2015,Applications/restorations approved,1091
Riverside,5,2015,Total applications/restorations on hand,4013
Riverside,6,2010,Applications denied,2110
Riverside,6,2010,Applications/requests for restoration received,4118
Riverside,6,2010,Applications/restorations approved,1410
Riverside,6,2010,Total applications/restorations on hand,5497
Riverside,6,2011,Applications denied,2269
Riverside,6,2011,Applications/requests for restoration received,4300
Riverside,6,2011,Applications/restorations approved,1583
Riverside,6,2011,Total applications/restorations on hand,5630
Riverside,6,2012,Applications denied,2247
Riverside,6,2012,Applications/requests for restoration received,4204
Riverside,6,2012,Applications/restorations approved,1532
Riverside,6,2012,Total applications/restorations on hand,5567
Riverside,6,2013,Applications denied,2100
Riverside,6,2013,Applications/requests for restoration received,3800
Riverside,6,2013,Applications/restorations approved,1303
Riverside,6,2013,Total applications/restorations on hand,4880
Riverside,6,2014,Applications denied,1884
Riverside,6,2014,Applications/requests for restoration received,3701
Riverside,6,2014,Applications/restorations approved,1364
Riverside,6,2014,Total applications/restorations on hand,4675
Riverside,6,2015,Applications denied,1953
Riverside,6,2015,Applications/requests for restoration received,3676
Riverside,6,2015,Applications/restorations approved,1279
Riverside,6,2015,Total applications/restorations on hand,4625
Riverside,7,2010,Applications denied,2211
Riverside,7,2010,Applications/requests for restoration received,4555
Riverside,7,2010,Applications/restorations approved,1797
Riverside,7,2010,Total applications/restorations on hand,6310
Riverside,7,2011,Applications denied,2122
Riverside,7,2011,Applications/requests for restoration received,3993
Riverside,7,2011,Applications/restorations approved,1418
Riverside,7,2011,Total applications/restorations on hand,5404
Riverside,7,2012,Applications denied,2427
Riverside,7,2012,Applications/requests for restoration received,4783
Riverside,7,2012,Applications/restorations approved,1703
Riverside,7,2012,Total applications/restorations on hand,6164
Riverside,7,2013,Applications denied,2531
Riverside,7,2013,Applications/requests for restoration received,4729
Riverside,7,2013,Applications/restorations approved,1581
Riverside,7,2013,Total applications/restorations on hand,5857
Riverside,7,2014,Applications denied,2239
Riverside,7,2014,Applications/requests for restoration received,4137
Riverside,7,2014,Applications/restorations approved,1544
Riverside,7,2014,Total applications/restorations on hand,5276
Riverside,7,2015,Applications denied,1982
Riverside,7,2015,Applications/requests for restoration received,3885
Riverside,7,2015,Applications/restorations approved,1461
Riverside,7,2015,Total applications/restorations on hand,4954
Riverside,8,2010,Applications denied,2469
Riverside,8,2010,Applications/requests for restoration received,4451
Riverside,8,2010,Applications/restorations approved,1792
Riverside,8,2010,Total applications/restorations on hand,6466
Riverside,8,2011,Applications denied,2704
Riverside,8,2011,Applications/requests for restoration received,4961
Riverside,8,2011,Applications/restorations approved,1704
Riverside,8,2011,Total applications/restorations on hand,6489
Riverside,8,2012,Applications denied,2683
Riverside,8,2012,Applications/requests for restoration received,5008
Riverside,8,2012,Applications/restorations approved,1904
Riverside,8,2012,Total applications/restorations on hand,6636
Riverside,8,2013,Applications denied,2518
Riverside,8,2013,Applications/requests for restoration received,4599
Riverside,8,2013,Applications/restorations approved,1588
Riverside,8,2013,Total applications/restorations on hand,5927
Riverside,8,2014,Applications denied,2089
Riverside,8,2014,Applications/requests for restoration received,3976
Riverside,8,2014,Applications/restorations approved,1360
Riverside,8,2014,Total applications/restorations on hand,5123
Riverside,8,2015,Applications denied,1970
Riverside,8,2015,Applications/requests for restoration received,3843
Riverside,8,2015,Applications/restorations approved,1375
Riverside,8,2015,Total applications/restorations on hand,4996
Riverside,9,2010,Applications denied,2186
Riverside,9,2010,Applications/requests for restoration received,4060
Riverside,9,2010,Applications/restorations approved,1718
Riverside,9,2010,Total applications/restorations on hand,5914
Riverside,9,2011,Applications denied,2378
Riverside,9,2011,Applications/requests for restoration received,4079
Riverside,9,2011,Applications/restorations approved,1535
Riverside,9,2011,Total applications/restorations on hand,5745
Riverside,9,2012,Applications denied,2188
Riverside,9,2012,Applications/requests for restoration received,3895
Riverside,9,2012,Applications/restorations approved,1430
Riverside,9,2012,Total applications/restorations on hand,5390
Riverside,9,2013,Applications denied,2427
Riverside,9,2013,Applications/requests for restoration received,4348
Riverside,9,2013,Applications/restorations approved,1436
Riverside,9,2013,Total applications/restorations on hand,5711
Riverside,9,2014,Applications denied,2195
Riverside,9,2014,Applications/requests for restoration received,3948
Riverside,9,2014,Applications/restorations approved,1441
Riverside,9,2014,Total applications/restorations on hand,5288
Riverside,9,2015,Applications denied,1969
Riverside,9,2015,Applications/requests for restoration received,3514
Riverside,9,2015,Applications/restorations approved,1333
Riverside,9,2015,Total applications/restorations on hand,4811
Sacramento,1,2010,Applications denied,905
Sacramento,1,2010,Applications/requests for restoration received,2563
Sacramento,1,2010,Applications/restorations approved,1237
Sacramento,1,2010,Total applications/restorations on hand,3220
Sacramento,1,2011,Applications denied,1001
Sacramento,1,2011,Applications/requests for restoration received,2686
Sacramento,1,2011,Applications/restorations approved,1372
Sacramento,1,2011,Total applications/restorations on hand,3711
Sacramento,1,2012,Applications denied,1037
Sacramento,1,2012,Applications/requests for restoration received,2797
Sacramento,1,2012,Applications/restorations approved,1098
Sacramento,1,2012,Total applications/restorations on hand,3308
Sacramento,1,2013,Applications denied,1107
Sacramento,1,2013,Applications/requests for restoration received,2808
Sacramento,1,2013,Applications/restorations approved,1095
Sacramento,1,2013,Total applications/restorations on hand,3494
Sacramento,1,2014,Applications denied,892
Sacramento,1,2014,Applications/requests for restoration received,2779
Sacramento,1,2014,Applications/restorations approved,1112
Sacramento,1,2014,Total applications/restorations on hand,3050
Sacramento,1,2015,Applications denied,824
Sacramento,1,2015,Applications/requests for restoration received,2292
Sacramento,1,2015,Applications/restorations approved,912
Sacramento,1,2015,Total applications/restorations on hand,2457
Sacramento,10,2010,Applications denied,997
Sacramento,10,2010,Applications/requests for restoration received,2553
Sacramento,10,2010,Applications/restorations approved,1265
Sacramento,10,2010,Total applications/restorations on hand,3682
Sacramento,10,2011,Applications denied,901
Sacramento,10,2011,Applications/requests for restoration received,2481
Sacramento,10,2011,Applications/restorations approved,1218
Sacramento,10,2011,Total applications/restorations on hand,3368
Sacramento,10,2012,Applications denied,1136
Sacramento,10,2012,Applications/requests for restoration received,2716
Sacramento,10,2012,Applications/restorations approved,1105
Sacramento,10,2012,Total applications/restorations on hand,3425
Sacramento,10,2013,Applications denied,1118
Sacramento,10,2013,Applications/requests for restoration received,2482
Sacramento,10,2013,Applications/restorations approved,1002
Sacramento,10,2013,Total applications/restorations on hand,3091
Sacramento,10,2014,Applications denied,858
Sacramento,10,2014,Applications/requests for restoration received,2311
Sacramento,10,2014,Applications/restorations approved,989
Sacramento,10,2014,Total applications/restorations on hand,2547
Sacramento,11,2010,Applications denied,990
Sacramento,11,2010,Applications/requests for restoration received,2604
Sacramento,11,2010,Applications/restorations approved,1236
Sacramento,11,2010,Total applications/restorations on hand,3670
Sacramento,11,2011,Applications denied,1076
Sacramento,11,2011,Applications/requests for restoration received,2644
Sacramento,11,2011,Applications/restorations approved,1179
Sacramento,11,2011,Total applications/restorations on hand,3378
Sacramento,11,2012,Applications denied,951
Sacramento,11,2012,Applications/requests for restoration received,2329
Sacramento,11,2012,Applications/restorations approved,882
Sacramento,11,2012,Total applications/restorations on hand,3074
Sacramento,11,2013,Applications denied,802
Sacramento,11,2013,Applications/requests for restoration received,2072
Sacramento,11,2013,Applications/restorations approved,890
Sacramento,11,2013,Total applications/restorations on hand,2576
Sacramento,11,2014,Applications denied,599
Sacramento,11,2014,Applications/requests for restoration received,1746
Sacramento,11,2014,Applications/restorations approved,793
Sacramento,11,2014,Total applications/restorations on hand,1976
Sacramento,12,2010,Applications denied,1624
Sacramento,12,2010,Applications/requests for restoration received,3265
Sacramento,12,2010,Applications/restorations approved,1426
Sacramento,12,2010,Total applications/restorations on hand,4776
Sacramento,12,2011,Applications/requests for restoration received,2494
Sacramento,12,2011,Applications/restorations approved,1081
Sacramento,12,2011,Total applications/restorations on hand,3113
Sacramento,12,2012,Applications denied,918
Sacramento,12,2012,Applications/requests for restoration received,2338
Sacramento,12,2012,Applications/restorations approved,958
Sacramento,12,2012,Total applications/restorations on hand,3126
Sacramento,12,2013,Applications denied,951
Sacramento,12,2013,Applications/requests for restoration received,2394
Sacramento,12,2013,Applications/restorations approved,926
Sacramento,12,2013,Total applications/restorations on hand,2735
Sacramento,12,2014,Applications denied,749
Sacramento,12,2014,Applications/requests for restoration received,2326
Sacramento,12,2014,Applications/restorations approved,982
Sacramento,12,2014,Total applications/restorations on hand,2417
Sacramento,2,2010,Applications denied,734
Sacramento,2,2010,Applications/requests for restoration received,2047
Sacramento,2,2010,Applications/restorations approved,1081
Sacramento,2,2010,Total applications/restorations on hand,2799
Sacramento,2,2011,Applications denied,806
Sacramento,2,2011,Applications/requests for restoration received,2028
Sacramento,2,2011,Applications/restorations approved,1061
Sacramento,2,2011,Total applications/restorations on hand,3081
Sacramento,2,2012,Applications denied,822
Sacramento,2,2012,Applications/requests for restoration received,2000
Sacramento,2,2012,Applications/restorations approved,890
Sacramento,2,2012,Total applications/restorations on hand,2760
Sacramento,2,2013,Applications denied,845
Sacramento,2,2013,Applications/requests for restoration received,1911
Sacramento,2,2013,Applications/restorations approved,782
Sacramento,2,2013,Total applications/restorations on hand,2749
Sacramento,2,2014,Applications denied,821
Sacramento,2,2014,Applications/requests for restoration received,1899
Sacramento,2,2014,Applications/restorations approved,773
Sacramento,2,2014,Total applications/restorations on hand,2503
Sacramento,2,2015,Applications denied,714
Sacramento,2,2015,Applications/requests for restoration received,1789
Sacramento,2,2015,Applications/restorations approved,708
Sacramento,2,2015,Total applications/restorations on hand,1978
Sacramento,3,2010,Applications denied,932
Sacramento,3,2010,Applications/requests for restoration received,2690
Sacramento,3,2010,Applications/restorations approved,1226
Sacramento,3,2010,Total applications/restorations on hand,3215
Sacramento,3,2011,Applications denied,985
Sacramento,3,2011,Applications/requests for restoration received,2656
Sacramento,3,2011,Applications/restorations approved,1335
Sacramento,3,2011,Total applications/restorations on hand,3547
Sacramento,3,2012,Applications denied,1008
Sacramento,3,2012,Applications/requests for restoration received,2600
Sacramento,3,2012,Applications/restorations approved,1025
Sacramento,3,2012,Total applications/restorations on hand,3072
Sacramento,3,2013,Applications denied,926
Sacramento,3,2013,Applications/requests for restoration received,2252
Sacramento,3,2013,Applications/restorations approved,884
Sacramento,3,2013,Total applications/restorations on hand,2508
Sacramento,3,2014,Applications denied,826
Sacramento,3,2014,Applications/requests for restoration received,2312
Sacramento,3,2014,Applications/restorations approved,846
Sacramento,3,2014,Total applications/restorations on hand,2764
Sacramento,3,2015,Applications denied,739
Sacramento,3,2015,Applications/requests for restoration received,2323
Sacramento,3,2015,Applications/restorations approved,922
Sacramento,3,2015,Total applications/restorations on hand,2399
Sacramento,4,2010,Applications denied,910
Sacramento,4,2010,Applications/requests for restoration received,2565
Sacramento,4,2010,Applications/restorations approved,1234
Sacramento,4,2010,Total applications/restorations on hand,3361
Sacramento,4,2011,Applications denied,837
Sacramento,4,2011,Applications/requests for restoration received,2310
Sacramento,4,2011,Applications/restorations approved,1097
Sacramento,4,2011,Total applications/restorations on hand,3089
Sacramento,4,2012,Applications denied,945
Sacramento,4,2012,Applications/requests for restoration received,2486
Sacramento,4,2012,Applications/restorations approved,967
Sacramento,4,2012,Total applications/restorations on hand,3007
Sacramento,4,2013,Applications denied,987
Sacramento,4,2013,Applications/requests for restoration received,2560
Sacramento,4,2013,Applications/restorations approved,936
Sacramento,4,2013,Total applications/restorations on hand,2708
Sacramento,4,2014,Applications denied,862
Sacramento,4,2014,Applications/requests for restoration received,2319
Sacramento,4,2014,Applications/restorations approved,1076
Sacramento,4,2014,Total applications/restorations on hand,2859
Sacramento,4,2015,Applications denied,839
Sacramento,4,2015,Applications/requests for restoration received,2323
Sacramento,4,2015,Applications/restorations approved,962
Sacramento,4,2015,Total applications/restorations on hand,2516
Sacramento,5,2010,Applications denied,830
Sacramento,5,2010,Applications/requests for restoration received,2520
Sacramento,5,2010,Applications/restorations approved,1255
Sacramento,5,2010,Total applications/restorations on hand,3318
Sacramento,5,2011,Applications denied,892
Sacramento,5,2011,Applications/requests for restoration received,2482
Sacramento,5,2011,Applications/restorations approved,1154
Sacramento,5,2011,Total applications/restorations on hand,3214
Sacramento,5,2012,Applications denied,1090
Sacramento,5,2012,Applications/requests for restoration received,2876
Sacramento,5,2012,Applications/restorations approved,1090
Sacramento,5,2012,Total applications/restorations on hand,3411
Sacramento,5,2013,Applications denied,914
Sacramento,5,2013,Applications/requests for restoration received,2367
Sacramento,5,2013,Applications/restorations approved,947
Sacramento,5,2013,Total applications/restorations on hand,2630
Sacramento,5,2014,Applications denied,772
Sacramento,5,2014,Applications/requests for restoration received,2245
Sacramento,5,2014,Applications/restorations approved,1030
Sacramento,5,2014,Total applications/restorations on hand,2703
Sacramento,5,2015,Applications denied,921
Sacramento,5,2015,Applications/requests for restoration received,2224
Sacramento,5,2015,Applications/restorations approved,890
Sacramento,5,2015,Total applications/restorations on hand,2528
Sacramento,6,2010,Applications denied,986
Sacramento,6,2010,Applications/requests for restoration received,3107
Sacramento,6,2010,Applications/restorations approved,1521
Sacramento,6,2010,Total applications/restorations on hand,3995
Sacramento,6,2011,Applications denied,994
Sacramento,6,2011,Applications/requests for restoration received,2703
Sacramento,6,2011,Applications/restorations approved,1255
Sacramento,6,2011,Total applications/restorations on hand,3479
Sacramento,6,2012,Applications denied,1083
Sacramento,6,2012,Applications/requests for restoration received,2864
Sacramento,6,2012,Applications/restorations approved,1167
Sacramento,6,2012,Total applications/restorations on hand,3545
Sacramento,6,2013,Applications denied,950
Sacramento,6,2013,Applications/requests for restoration received,2446
Sacramento,6,2013,Applications/restorations approved,841
Sacramento,6,2013,Total applications/restorations on hand,2709
Sacramento,6,2014,Applications denied,909
Sacramento,6,2014,Applications/requests for restoration received,2530
Sacramento,6,2014,Applications/restorations approved,1062
Sacramento,6,2014,Total applications/restorations on hand,2973
Sacramento,6,2015,Applications denied,912
Sacramento,6,2015,Applications/requests for restoration received,2559
Sacramento,6,2015,Applications/restorations approved,1051
Sacramento,6,2015,Total applications/restorations on hand,2786
Sacramento,7,2010,Applications/requests for restoration received,3425
Sacramento,7,2010,Applications/restorations approved,1739
Sacramento,7,2010,Total applications/restorations on hand,4435
Sacramento,7,2011,Applications denied,862
Sacramento,7,2011,Applications/requests for restoration received,2480
Sacramento,7,2011,Applications/restorations approved,1146
Sacramento,7,2011,Total applications/restorations on hand,3328
Sacramento,7,2012,Applications denied,1126
Sacramento,7,2012,Applications/requests for restoration received,2881
Sacramento,7,2012,Applications/restorations approved,1086
Sacramento,7,2012,Total applications/restorations on hand,3582
Sacramento,7,2013,Applications denied,1146
Sacramento,7,2013,Applications/requests for restoration received,2865
Sacramento,7,2013,Applications/restorations approved,917
Sacramento,7,2013,Total applications/restorations on hand,3045
Sacramento,7,2014,Applications denied,908
Sacramento,7,2014,Applications/requests for restoration received,2540
Sacramento,7,2014,Applications/restorations approved,1155
Sacramento,7,2014,Total applications/restorations on hand,3006
Sacramento,7,2015,Applications denied,943
Sacramento,7,2015,Applications/requests for restoration received,2713
Sacramento,7,2015,Applications/restorations approved,1027
Sacramento,7,2015,Total applications/restorations on hand,2964
Sacramento,8,2010,Applications denied,1021
Sacramento,8,2010,Applications/requests for restoration received,2884
Sacramento,8,2010,Applications/restorations approved,1454
Sacramento,8,2010,Total applications/restorations on hand,4130
Sacramento,8,2011,Applications denied,999
Sacramento,8,2011,Applications/requests for restoration received,2901
Sacramento,8,2011,Applications/restorations approved,1513
Sacramento,8,2011,Total applications/restorations on hand,3872
Sacramento,8,2012,Applications denied,1201
Sacramento,8,2012,Applications/requests for restoration received,2971
Sacramento,8,2012,Applications/restorations approved,1226
Sacramento,8,2012,Total applications/restorations on hand,3771
Sacramento,8,2013,Applications denied,1072
Sacramento,8,2013,Applications/requests for restoration received,2776
Sacramento,8,2013,Applications/restorations approved,913
Sacramento,8,2013,Total applications/restorations on hand,3104
Sacramento,8,2014,Applications denied,904
Sacramento,8,2014,Applications/requests for restoration received,1988
Sacramento,8,2014,Applications/restorations approved,1099
Sacramento,8,2014,Total applications/restorations on hand,2843
Sacramento,8,2015,Applications denied,1047
Sacramento,8,2015,Applications/requests for restoration received,2598
Sacramento,8,2015,Applications/restorations approved,990
Sacramento,8,2015,Total applications/restorations on hand,3053
Sacramento,9,2010,Applications denied,1088
Sacramento,9,2010,Applications/requests for restoration received,2693
Sacramento,9,2010,Applications/restorations approved,1341
Sacramento,9,2010,Total applications/restorations on hand,3928
Sacramento,9,2011,Applications denied,941
Sacramento,9,2011,Applications/requests for restoration received,2565
Sacramento,9,2011,Applications/restorations approved,1388
Sacramento,9,2011,Total applications/restorations on hand,3576
Sacramento,9,2012,Applications denied,1005
Sacramento,9,2012,Applications/requests for restoration received,2493
Sacramento,9,2012,Applications/restorations approved,959
Sacramento,9,2012,Total applications/restorations on hand,3285
Sacramento,9,2013,Applications denied,1044
Sacramento,9,2013,Applications/requests for restoration received,2528
Sacramento,9,2013,Applications/restorations approved,787
Sacramento,9,2013,Total applications/restorations on hand,3072
Sacramento,9,2014,Applications denied,914
Sacramento,9,2014,Applications/requests for restoration received,2435
Sacramento,9,2014,Applications/restorations approved,989
Sacramento,9,2014,Total applications/restorations on hand,2658
Sacramento,9,2015,Applications denied,1029
Sacramento,9,2015,Applications/requests for restoration received,2360
Sacramento,9,2015,Applications/restorations approved,932
Sacramento,9,2015,Total applications/restorations on hand,2900
San Bernardino,1,2010,Applications denied,2454
San Bernardino,1,2010,Applications/requests for restoration received,4227
San Bernardino,1,2010,Applications/restorations approved,1775
San Bernardino,1,2010,Total applications/restorations on hand,6096
San Bernardino,1,2011,Applications denied,2628
San Bernardino,1,2011,Applications/requests for restoration received,5256
San Bernardino,1,2011,Applications/restorations approved,2273
San Bernardino,1,2011,Total applications/restorations on hand,7435
San Bernardino,1,2012,Applications denied,2889
San Bernardino,1,2012,Applications/requests for restoration received,5549
San Bernardino,1,2012,Applications/restorations approved,1929
San Bernardino,1,2012,Total applications/restorations on hand,7228
San Bernardino,1,2013,Applications denied,3066
San Bernardino,1,2013,Applications/requests for restoration received,5848
San Bernardino,1,2013,Applications/restorations approved,1992
San Bernardino,1,2013,Total applications/restorations on hand,7543
San Bernardino,1,2014,Applications denied,2685
San Bernardino,1,2014,Applications/requests for restoration received,6020
San Bernardino,1,2014,Applications/restorations approved,2096
San Bernardino,1,2014,Total applications/restorations on hand,7751
San Bernardino,1,2015,Applications denied,2381
San Bernardino,1,2015,Applications/requests for restoration received,4791
San Bernardino,1,2015,Applications/restorations approved,1795
San Bernardino,1,2015,Total applications/restorations on hand,6174
San Bernardino,10,2010,Applications denied,2494
San Bernardino,10,2010,Applications/requests for restoration received,4973
San Bernardino,10,2010,Applications/restorations approved,2308
San Bernardino,10,2010,Total applications/restorations on hand,7750
San Bernardino,10,2011,Applications denied,2725
San Bernardino,10,2011,Applications/requests for restoration received,4961
San Bernardino,10,2011,Applications/restorations approved,2065
San Bernardino,10,2011,Total applications/restorations on hand,7101
San Bernardino,10,2012,Applications denied,3311
San Bernardino,10,2012,Applications/requests for restoration received,5616
San Bernardino,10,2012,Applications/restorations approved,2165
San Bernardino,10,2012,Total applications/restorations on hand,8285
San Bernardino,10,2013,Applications denied,3164
San Bernardino,10,2013,Applications/requests for restoration received,5292
San Bernardino,10,2013,Applications/restorations approved,2257
San Bernardino,10,2013,Total applications/restorations on hand,7923
San Bernardino,10,2014,Applications denied,2415
San Bernardino,10,2014,Applications/requests for restoration received,4603
San Bernardino,10,2014,Applications/restorations approved,2016
San Bernardino,10,2014,Total applications/restorations on hand,6363
San Bernardino,11,2010,Applications denied,2426
San Bernardino,11,2010,Applications/requests for restoration received,4843
San Bernardino,11,2010,Applications/restorations approved,2047
San Bernardino,11,2010,Total applications/restorations on hand,7409
San Bernardino,11,2011,Applications denied,2577
San Bernardino,11,2011,Applications/requests for restoration received,5075
San Bernardino,11,2011,Applications/restorations approved,1959
San Bernardino,11,2011,Total applications/restorations on hand,6993
San Bernardino,11,2012,Applications denied,2606
San Bernardino,11,2012,Applications/requests for restoration received,4546
San Bernardino,11,2012,Applications/restorations approved,1869
San Bernardino,11,2012,Total applications/restorations on hand,6827
San Bernardino,11,2013,Applications denied,2211
San Bernardino,11,2013,Applications/requests for restoration received,4061
San Bernardino,11,2013,Applications/restorations approved,1798
San Bernardino,11,2013,Total applications/restorations on hand,6048
San Bernardino,11,2014,Applications denied,1926
San Bernardino,11,2014,Applications/requests for restoration received,3582
San Bernardino,11,2014,Applications/restorations approved,1522
San Bernardino,11,2014,Total applications/restorations on hand,5155
San Bernardino,12,2010,Applications denied,2652
San Bernardino,12,2010,Applications/requests for restoration received,4732
San Bernardino,12,2010,Applications/restorations approved,2083
San Bernardino,12,2010,Total applications/restorations on hand,7263
San Bernardino,12,2011,Applications denied,2665
San Bernardino,12,2011,Applications/requests for restoration received,4616
San Bernardino,12,2011,Applications/restorations approved,2012
San Bernardino,12,2011,Total applications/restorations on hand,6691
San Bernardino,12,2012,Applications denied,2458
San Bernardino,12,2012,Applications/requests for restoration received,4297
San Bernardino,12,2012,Applications/restorations approved,1763
San Bernardino,12,2012,Total applications/restorations on hand,6283
San Bernardino,12,2013,Applications denied,2247
San Bernardino,12,2013,Applications/requests for restoration received,4411
San Bernardino,12,2013,Applications/restorations approved,1724
San Bernardino,12,2013,Total applications/restorations on hand,6062
San Bernardino,12,2014,Applications denied,2115
San Bernardino,12,2014,Applications/requests for restoration received,4171
San Bernardino,12,2014,Applications/restorations approved,1827
San Bernardino,12,2014,Total applications/restorations on hand,5592
San Bernardino,2,2010,Applications denied,1913
San Bernardino,2,2010,Applications/requests for restoration received,3455
San Bernardino,2,2010,Applications/restorations approved,1465
San Bernardino,2,2010,Total applications/restorations on hand,5145
San Bernardino,2,2011,Applications denied,2105
San Bernardino,2,2011,Applications/requests for restoration received,3803
San Bernardino,2,2011,Applications/restorations approved,1770
San Bernardino,2,2011,Total applications/restorations on hand,5917
San Bernardino,2,2012,Applications denied,2591
San Bernardino,2,2012,Applications/requests for restoration received,4259
San Bernardino,2,2012,Applications/restorations approved,1766
San Bernardino,2,2012,Total applications/restorations on hand,6305
San Bernardino,2,2013,Applications denied,2532
San Bernardino,2,2013,Applications/requests for restoration received,3957
San Bernardino,2,2013,Applications/restorations approved,1577
San Bernardino,2,2013,Total applications/restorations on hand,5915
San Bernardino,2,2014,Applications denied,2401
San Bernardino,2,2014,Applications/requests for restoration received,3841
San Bernardino,2,2014,Applications/restorations approved,1991
San Bernardino,2,2014,Total applications/restorations on hand,6318
San Bernardino,2,2015,Applications denied,2117
San Bernardino,2,2015,Applications/requests for restoration received,3537
San Bernardino,2,2015,Applications/restorations approved,1499
San Bernardino,2,2015,Total applications/restorations on hand,5206
San Bernardino,3,2010,Applications denied,2263
San Bernardino,3,2010,Applications/requests for restoration received,4412
San Bernardino,3,2010,Applications/restorations approved,1731
San Bernardino,3,2010,Total applications/restorations on hand,5956
San Bernardino,3,2011,Applications denied,2312
San Bernardino,3,2011,Applications/requests for restoration received,5027
San Bernardino,3,2011,Applications/restorations approved,1890
San Bernardino,3,2011,Total applications/restorations on hand,6696
San Bernardino,3,2012,Applications denied,2610
San Bernardino,3,2012,Applications/requests for restoration received,4970
San Bernardino,3,2012,Applications/restorations approved,1825
San Bernardino,3,2012,Total applications/restorations on hand,6532
San Bernardino,3,2013,Applications denied,2496
San Bernardino,3,2013,Applications/requests for restoration received,4390
San Bernardino,3,2013,Applications/restorations approved,1619
San Bernardino,3,2013,Total applications/restorations on hand,5837
San Bernardino,3,2014,Applications denied,2200
San Bernardino,3,2014,Applications/requests for restoration received,4523
San Bernardino,3,2014,Applications/restorations approved,1722
San Bernardino,3,2014,Total applications/restorations on hand,6073
San Bernardino,3,2015,Applications denied,2047
San Bernardino,3,2015,Applications/requests for restoration received,4144
San Bernardino,3,2015,Applications/restorations approved,1702
San Bernardino,3,2015,Total applications/restorations on hand,5489
San Bernardino,4,2010,Applications denied,2351
San Bernardino,4,2010,Applications/requests for restoration received,4392
San Bernardino,4,2010,Applications/restorations approved,1673
San Bernardino,4,2010,Total applications/restorations on hand,6178
San Bernardino,4,2011,Applications denied,2393
San Bernardino,4,2011,Applications/requests for restoration received,4540
San Bernardino,4,2011,Applications/restorations approved,2087
San Bernardino,4,2011,Total applications/restorations on hand,6632
San Bernardino,4,2012,Applications denied,2788
San Bernardino,4,2012,Applications/requests for restoration received,5200
San Bernardino,4,2012,Applications/restorations approved,1868
San Bernardino,4,2012,Total applications/restorations on hand,6947
San Bernardino,4,2013,Applications denied,2538
San Bernardino,4,2013,Applications/requests for restoration received,4969
San Bernardino,4,2013,Applications/restorations approved,1748
San Bernardino,4,2013,Total applications/restorations on hand,6363
San Bernardino,4,2014,Applications denied,2336
San Bernardino,4,2014,Applications/requests for restoration received,4748
San Bernardino,4,2014,Applications/restorations approved,1849
San Bernardino,4,2014,Total applications/restorations on hand,6549
San Bernardino,4,2015,Applications denied,2121
San Bernardino,4,2015,Applications/requests for restoration received,4441
San Bernardino,4,2015,Applications/restorations approved,1768
San Bernardino,4,2015,Total applications/restorations on hand,5892
San Bernardino,5,2010,Applications denied,2197
San Bernardino,5,2010,Applications/requests for restoration received,4208
San Bernardino,5,2010,Applications/restorations approved,1598
San Bernardino,5,2010,Total applications/restorations on hand,6203
San Bernardino,5,2011,Applications denied,2454
San Bernardino,5,2011,Applications/requests for restoration received,4744
San Bernardino,5,2011,Applications/restorations approved,1918
San Bernardino,5,2011,Total applications/restorations on hand,6562
San Bernardino,5,2012,Applications denied,3134
San Bernardino,5,2012,Applications/requests for restoration received,5947
San Bernardino,5,2012,Applications/restorations approved,2003
San Bernardino,5,2012,Total applications/restorations on hand,7820
San Bernardino,5,2013,Applications denied,2677
San Bernardino,5,2013,Applications/requests for restoration received,4898
San Bernardino,5,2013,Applications/restorations approved,1655
San Bernardino,5,2013,Total applications/restorations on hand,6601
San Bernardino,5,2014,Applications denied,2279
San Bernardino,5,2014,Applications/requests for restoration received,4624
San Bernardino,5,2014,Applications/restorations approved,2003
San Bernardino,5,2014,Total applications/restorations on hand,6572
San Bernardino,5,2015,Applications denied,2159
San Bernardino,5,2015,Applications/requests for restoration received,4127
San Bernardino,5,2015,Applications/restorations approved,1687
San Bernardino,5,2015,Total applications/restorations on hand,5810
San Bernardino,6,2010,Applications denied,2682
San Bernardino,6,2010,Applications/requests for restoration received,5362
San Bernardino,6,2010,Applications/restorations approved,1745
San Bernardino,6,2010,Total applications/restorations on hand,7590
San Bernardino,6,2011,Applications denied,2539
San Bernardino,6,2011,Applications/requests for restoration received,5185
San Bernardino,6,2011,Applications/restorations approved,1926
San Bernardino,6,2011,Total applications/restorations on hand,6972
San Bernardino,6,2012,Applications denied,3295
San Bernardino,6,2012,Applications/requests for restoration received,5802
San Bernardino,6,2012,Applications/restorations approved,1883
San Bernardino,6,2012,Total applications/restorations on hand,8060
San Bernardino,6,2013,Applications denied,2633
San Bernardino,6,2013,Applications/requests for restoration received,4900
San Bernardino,6,2013,Applications/restorations approved,1780
